2018-04-10 10:57:11.130 [main] INFO  org.springframework.context.support.ClassPathXmlApplicationContext - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@443118b0: startup date [Tue Apr 10 10:57:11 MSK 2018]; root of context hierarchy
2018-04-10 10:57:11.662 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [ioc.xml]
2018-04-10 11:00:09.186 [main] INFO  org.springframework.context.support.ClassPathXmlApplicationContext - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@765d7657: startup date [Tue Apr 10 11:00:09 MSK 2018]; root of context hierarchy
2018-04-10 11:00:09.303 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [ioc.xml]
2018-04-11 11:39:05.272 [main] INFO  org.springframework.context.support.ClassPathXmlApplicationContext - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@65fb9ffc: startup date [Wed Apr 11 11:39:05 MSK 2018]; root of context hierarchy
2018-04-11 11:39:07.599 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [ioc.xml]
2018-04-11 11:39:12.707 [main] WARN  org.springframework.context.support.ClassPathXmlApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.CannotLoadBeanClassException: Cannot find class [lab.model.simple.SimplePerson] for bean with name 'person' defined in class path resource [ioc.xml]; nested exception is java.lang.ClassNotFoundException: lab.model.simple.SimplePerson
2018-04-11 11:43:48.049 [main] INFO  org.springframework.context.support.ClassPathXmlApplicationContext - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@65fb9ffc: startup date [Wed Apr 11 11:43:48 MSK 2018]; root of context hierarchy
2018-04-11 11:43:48.124 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [ioc.xml]
2018-04-11 13:21:48.622 [main] INFO  org.springframework.context.support.ClassPathXmlApplicationContext - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@59474f18: startup date [Wed Apr 11 13:21:48 MSK 2018]; root of context hierarchy
2018-04-11 13:21:49.275 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [ioc.xml]
